time,open,high,low,close,HH,HL,LH,LL,9,23,50,200,Cross Up,Cross Down,MA,Pivot High,Pivot Low,Mid,Upper,Lower,Volume,Volume MA,WT,Signal line,in/out mFlow,Stoch RSI K%,Stoch RSI D%,RSI,RSI MA,Midline,End Neutral Zone,Begin Neutral Zone,Bull Floor,Bear Ceiling
1768863600,2367.37,2379.5,2310.65,2322.75,,,,,,,2326.1879009149443,2093.6955974432403,0,0,2327.3819059512875,,,,,,9712,10515.5,3.504780775385548,14.155476288348552,-9.486457743840361,45.102801440082715,57.1767114490308,45.534693775944476,50.37108530103551,50,70,30,,
1768878000,2322.73,2384.9,2309.15,2378.55,,2309.15,,,,,2328.241316565339,2096.529969607984,0,0,2329.428629713236,,,,,,11302,10647.15,13.630376557260018,12.83025457747411,-8.72811160986214,55.36259734836646,54.991788872633,54.6333152656509,50.157732908590205,50,70,30,,
1768892400,2379.09,2412.7,2378.55,2396.45,,,,,,,2330.9161668961096,2099.5142485173574,0,0,2332.1094845247067,,,,,,10020,10317.8,25.696463085154647,14.277206805933389,-2.9831871123986815,68.06927042262798,56.178223070359046,57.10862275448707,50.711243090042025,50,70,30,,
1768906800,2396.6,2449.05,2387.5,2448.3,,,,,,,2335.519454468811,2102.9847535072345,0,0,2336.7571051437185,,,,,,16100,10416.85,43.40193959413442,27.576259745516342,-2.385199822882541,97.69405077022374,73.70863951373939,63.347127890224904,51.76474485921711,50,70,30,,
1768921200,2447.98,2456.15,2396.1,2440.35,,,,,,,2339.630456254348,2106.3416216315404,0,0,2340.90082093797,,,,,,18893,10831.25,50.62853816747701,39.90898028225534,3.3196206171139266,97.501775247216,87.75503214668925,61.861419827710975,52.81194163956468,50,70,30,,
1768935600,2440.45,2481.15,2434.65,2473.7,,,,,,,2344.888085420844,2109.996928878988,0,0,2346.2127881004512,,,,,,8570,10417.6,59.08420593825941,51.03822789995693,8.680534792519168,97.501775247216,97.56586708821858,65.5152398684136,54.339630519171656,50,70,30,,
1768950000,2461.8,2513.15,2440.35,2453.85,,,,,,,2349.16110167885,2113.418352472232,0,0,2350.518276576433,,,,,,13686,10333.1,59.2043785645058,56.30570755674739,14.19583546115308,91.33923684936018,95.44759578126406,61.72478298918921,55.60234256580889,50,70,30,,
1768964400,2458.42,2476.52,2407.6,2426,,,,,,,2352.1743918090915,2116.528617621762,0,0,2353.537545513376,,,,,,12977,10674.3,52.011203369332485,56.76659595736587,8.901491239003704,79.49334432158237,89.44478547271952,56.762725023047295,56.21173398589623,50,70,30,,
1768978800,2425.92,2481.15,2423.15,2474.65,,,,,,,2356.977356836186,2120.0920144613465,0,0,2358.382043692841,,,,,,9514,10463.25,56.82941172915348,56.0149978876639,7.977298000906373,74.51570651772036,81.78276256288764,62.44261514730393,56.96563808841755,50,70,30,,
1768993200,2474.75,2531.69,2461.75,2516.58,,,,,,,2363.236284019081,2124.0371685463083,0,0,2364.7099619451274,,,,,,17395,10813.25,64.93099258900989,57.923869229165284,16.506417164921046,80.67824491557619,78.22909858495966,66.52428758774883,58.0100511059528,50,70,30,,
1769007600,2516.71,2549.15,2481.29,2518.25,,,,,,,2369.3152532732347,2127.959684282166,0,0,2370.851563467322,,,,,,25949,11739,67.85222635562255,63.20421022459531,23.523881202293083,95.02236219613798,83.40543787647819,66.67960823645971,58.99595949201018,50,70,30,,
1769022000,2516.6,2521,2441.61,2477.1,,,,,,,2373.542106086049,2131.4337172743835,0,0,2375.1015009286293,,,,,,14986,11731.65,60.655838800065304,64.47968591489924,17.211912010310982,88.75662263508919,88.15240991560113,59.369844639768694,59.27916519903617,50,70,30,,
1769036400,2474.88,2477.8,2360.15,2427.55,,2360.15,,,,,2375.6600627101257,2134.3801479482704,0,0,2377.1994408914843,,,,,,16723,11640.5,42.89922279973777,57.135762651808534,10.299255487735834,65.86350159466677,83.21416214196465,51.98045046824205,59.117982640433425,50,70,30,,
1769050800,2427.89,2466.65,2423.7,2466.65,,,,,,,2379.228295545023,2137.686315630377,0,0,2380.777463255825,,,,,,11179,11853.1,38.73585246062195,47.43030468680834,14.784631074644594,50.214066440318426,68.27806355669148,56.57363775346213,59.28988365911813,50,70,30,,
1769065200,2467.75,2505.4,2453.25,2503.1,,,,,,,2384.0860094452178,2141.322272688781,0,0,2385.6703647255918,,,,,,9855,11637.95,44.157194084025875,41.930756448128534,14.217618500280338,47.30553432566336,54.4610341202162,60.37844809209034,60.35015182455713,50,70,30,,
1769079600,2504.55,2525.2,2490.45,2507.05,,,,,,,2388.9081267218758,2144.9613545525744,0,0,2390.525550136568,,,,,,13633,11992.7,47.52075751448425,43.47126801971069,21.18010149935951,56.951844750055706,51.49048183867918,60.77947837990318,60.789163475575144,50,70,30,,
1769094000,2503.5,2603.9,2503.21,2599.45,,,,,,,2397.1646707719983,2149.4836296316535,0,0,2398.8825281311056,,,,,,20648,12740.45,62.77141967451885,51.48312375767633,23.283968645683686,72.60127990440405,58.95288632670773,68.74807765118874,61.62055311105384,50,70,30,,
1769108400,2599.35,2647.1,2592.75,2625.95,,,,,,,2406.136644467214,2154.224588540791,0,0,2407.9652270058614,,,,,,9085,12862.6,71.47900546288287,60.59039421729532,29.34040483101589,86.75318938396993,72.10210467947658,70.59339912328471,62.138143913415256,50,70,30,,
1769122800,2629.82,2687.85,2620.55,2666.1,,,,,,,2416.3312858606564,2159.317876217002,0,0,2418.290617925627,,,,,,16218,13348.45,77.61048790496231,70.62030434745468,35.78049554402995,100,86.45148976279135,73.177551278514,62.946439017044035,50,70,30,,
1769137200,2665.9,2667.5,2619.3,2655.05,,,,,,,2425.6928040621992,2164.2505341650913,0,0,2427.760993208602,,,,,,9878,13816.15,77.53951535625184,75.54300290803234,31.08032994622218,97.20676823017915,94.6533192047164,71.31997836864916,63.36106319563229,50,70,30,,
1769151600,2655.62,2699,2597.3,2694.9,,,,,,,2436.2499490009363,2169.5306283525033,0,0,2438.446553480258,,,,,,12496,13955.35,78.77218048057861,77.97406124726425,30.75161761668923,97.20676823017915,98.13784548678613,73.89371337244745,64.23027250872217,50,70,30,,
1769166000,2694.75,2724.75,2683.35,2719,,,,,,,2447.3381862950173,2174.9979852843194,0,0,2449.6686913410476,,,,,,21410,14460.75,79.10356162189724,78.47175248624255,31.900603219836654,97.20676823017915,97.20676823017918,75.33527756846811,65.55688340482365,50,70,30,,
1769180400,2718.9,2776.2,2716.05,2749,,,,,,,2459.1680613422714,2180.7094481173112,0,0,2461.6419436874057,,,,,,21164,15017.95,79.31102313817054,79.06225508021545,34.06526085031874,100,98.13784548678613,77.03524134164414,66.59921384727652,50,70,30,,
1769194800,2749.1,2781.25,2745.85,2772.3,,,,,,,2471.447745211202,2186.595921270373,0,0,2474.0682659399095,,,,,,9296,14677.75,78.8482082050179,79.08759765502855,39.250880345719224,100,99.06892274339306,78.28695098061989,67.43940408962446,50,70,30,,
1769382000,2787.02,2905.31,2682.65,2861.9,,,,,,,2486.7595983401743,2193.315364839822,0,0,2489.581535302313,,,,,,22315,14848.85,82.25427689944287,80.1378360808771,44.86514496959478,99.99999999999999,100.00000000000001,82.2855372351107,68.5541133038138,50,70,30,,
1769396400,2861.37,2887.7,2772.35,2854.45,,,,,,,2501.1788297778144,2199.893818921018,0,0,2504.1762738902207,,,,,,16280,15234.35,81.06836699193757,80.72361736546611,45.81944296069949,98.63744724359087,99.54581574786364,80.95066704661959,70.09560061858888,50,70,30,,
1769410800,2854,2918.55,2845.7,2912.4,2918.55,,,,,,2517.3051501786845,2206.9834326630976,0,0,2520.505222934612,,,,,,13385,15219.3,81.49786699830457,81.60683696322833,51.54681487449548,98.63744724359087,99.09163149572726,83.22964272796413,72.3276857799976,50,70,30,,
1769425200,2911.5,2912.55,2790.92,2850.2,,,,,,,2530.3598501716774,2213.383597512221,0,0,2533.6930140172276,,,,,,25048,15822.85,75.20237259051078,79.25620219358431,47.8114622252844,84.66985311063112,93.9815825326043,73.11832453895713,73.50944912181866,50,70,30,,
1769439600,2850.04,2879.2,2774.55,2778.84,,,,,,,2540.1041697727883,2219.010029377771,0,0,2543.4988934565386,,,,,,33487,17021.5,62.59948415588559,73.09990791490031,36.29935536172036,57.81021221521149,80.37250418981118,63.57565794913054,73.7378212544644,50,70,30,,
1769454000,2778.8,2778.8,2549.03,2574.75,,,,,,,2541.4628297816985,2222.5497305779922,0,0,2544.748937718277,,,,,,25422,17422.85,35.455930427296764,57.75259572456438,27.962705493197888,24.47687888187816,55.65231473590694,45.347330757945905,72.63552499575317,50,70,30,,
1769468400,2599.62,2712.25,2560.15,2677.95,,,,,,,2546.815267829475,2227.0810765423903,0,0,2550.076980209546,,,,,,24749,17362.85,23.94005141961752,40.665155334266636,32.283692626776855,11.895916613355453,31.394335903481714,52.728100555453395,71.49124091748637,50,70,30,,
1769482800,2678.05,2724.5,2623.95,2705.64,,,,,,,2553.0436886989073,2231.842856875302,0,0,2556.299501001164,,,,,,17953,17511.2,17.499185916035376,25.631722587649893,33.666813481403466,15.158770656065135,17.177188717099593,54.503500521634756,70.34196244593993,50,70,30,,
1769497200,2705.76,2759.75,2676.45,2694.2,,,,,,,2558.579230318558,2236.4434254636076,0,0,2561.8155209611177,,,,,,16682,17509.15,10.843579848650812,17.427605728101238,34.70988541652278,22.720239323657278,16.591642197692625,53.607706553408214,68.94411639414666,50,70,30,,
1769511600,2694.6,2702.35,2567.96,2570.9,,,,,,,2559.062397757046,2239.7713515783976,0,0,2562.178900122673,,,,,,26368,18268.6,-6.7402597696267215,7.200835331686491,27.797777891522188,15.935462391806391,17.938157457176274,45.019439225061156,67.06550645531895,50,70,30,,
1769526000,2574.75,2586.45,2515.89,2548.2,,2515.89,,,,,2558.6364213744164,2242.840293353737,0,0,2561.619744117766,,,,,,30009,19276.3,-19.539796106559034,-5.145492009178312,21.499815705762032,7.561468667592135,15.405723461018608,43.633494881165845,64.90406227737027,50,70,30,,
1769540400,2548.37,2644.25,2541.9,2641.9,,,,,,,2561.9016597518903,2246.811036703451,0,0,2564.8309543530554,,,,,,16728,19431.05,-18.832922772141465,-15.037659549442404,25.091480535644237,5.988481506470788,9.828470855289776,50.41868701357197,63.124305809163396,50,70,30,,
1769554800,2636.65,2704.58,2606.35,2691.9,,,,,,,2566.999633879267,2251.239782606899,0,0,2569.913716178933,,,,,,17378,19267.55,-11.394226183902237,-16.588981687534243,25.88829196050294,14.725004034000536,9.424984736021157,53.62661725367247,61.45226123145113,50,70,30,,
